a    b     c      brian constant
2    40    40     1.504167368206689
3    30    30     1.502928226092572
3    30    31     1.502928226092573
3    30    32     1.502928226092573
3    30    33     1.502928226092573
3    30    34     1.502928226092573
3    30    35     1.502928226092573
3    30    36     1.502928226092573
3    30    37     1.502928226092573
3    30    38     1.502928226092573
3    30    39     1.502928226092573
3    30    40     1.502928226092573
3    31    30     1.502928226093196
3    31    31     1.502928226093197
3    31    32     1.502928226093197
3    31    33     1.502928226093197
3    31    34     1.502928226093197
3    31    35     1.502928226093197
3    31    36     1.502928226093197
3    31    37     1.502928226093197
3    31    38     1.502928226093197
3    31    39     1.502928226093197
3    31    40     1.502928226093197
3    32    30     1.502928226092927
3    32    31     1.502928226092929
3    32    32     1.502928226092928
3    32    33     1.502928226092929
3    32    34     1.502928226092929
3    32    35     1.502928226092929
3    32    36     1.502928226092929
3    32    37     1.502928226092928
3    32    38     1.502928226092929
3    32    39     1.502928226092929
3    32    40     1.502928226092929
3    33    30     1.502928226093043
3    33    31     1.502928226093044
3    33    32     1.502928226093043
3    33    33     1.502928226093043
3    33    34     1.502928226093044
3    33    35     1.502928226093043
3    33    36     1.502928226093044
3    33    37     1.502928226093044
3    33    38     1.502928226093044
3    33    39     1.502928226093044
3    33    40     1.502928226093044
3    34    30     1.502928226092993
3    34    31     1.502928226092995
3    34    32     1.502928226092994
3    34    33     1.502928226092994
3    34    34     1.502928226092994
3    34    35     1.502928226092994
3    34    36     1.502928226092994
3    34    37     1.502928226092994
3    34    38     1.502928226092994
3    34    39     1.502928226092994
3    34    40     1.502928226092994
3    35    30     1.502928226093013
3    35    31     1.502928226093015
3    35    32     1.502928226093015
3    35    33     1.502928226093015
3    35    34     1.502928226093014
3    35    35     1.502928226093014
3    35    36     1.502928226093015
3    35    37     1.502928226093014
3    35    38     1.502928226093014
3    35    39     1.502928226093014
3    35    40     1.502928226093014
3    36    30     1.502928226093006
3    36    31     1.502928226093007
3    36    32     1.502928226093007
3    36    33     1.502928226093007
3    36    34     1.502928226093007
3    36    35     1.502928226093007
3    36    36     1.502928226093008
3    36    37     1.502928226093008
3    36    38     1.502928226093008
3    36    39     1.502928226093008
3    36    40     1.502928226093008
3    37    30     1.502928226093008
3    37    31     1.50292822609301
3    37    32     1.502928226093009
3    37    33     1.502928226093009
3    37    34     1.502928226093009
3    37    35     1.502928226093009
3    37    36     1.502928226093009
3    37    37     1.502928226093009
3    37    38     1.502928226093009
3    37    39     1.502928226093009
3    37    40     1.502928226093009
3    38    30     1.502928226093008
3    38    31     1.502928226093009
3    38    32     1.502928226093009
3    38    33     1.502928226093009
3    38    34     1.502928226093009
3    38    35     1.502928226093008
3    38    36     1.502928226093008
3    38    37     1.502928226093008
3    38    38     1.502928226093008
3    38    39     1.502928226093008
3    38    40     1.502928226093008
3    39    30     1.502928226093008
3    39    31     1.50292822609301
3    39    32     1.502928226093009
3    39    33     1.502928226093009
3    39    34     1.502928226093009
3    39    35     1.50292822609301
3    39    36     1.502928226093009
3    39    37     1.502928226093009
3    39    38     1.502928226093009
3    39    39     1.50292822609301
3    39    40     1.50292822609301
3    40    30     1.502928226093007
3    40    31     1.502928226093009
3    40    32     1.502928226093008
3    40    33     1.502928226093009
3    40    34     1.502928226093009
3    40    35     1.502928226093009
3    40    36     1.502928226093009
3    40    37     1.502928226093008
3    40    38     1.502928226093008
3    40    39     1.502928226093008
3    40    40     1.502928226093008
4    30    30     1.50306009550891
4    30    31     1.503060095518241
4    30    32     1.503060095514045
4    30    33     1.503060095515932
4    30    34     1.503060095515083
4    30    35     1.503060095515465
4    30    36     1.503060095515293
4    30    37     1.50306009551537
4    30    38     1.503060095515335
4    30    39     1.503060095515351
4    30    40     1.503060095515344
4    31    30     1.503060095508907
4    31    31     1.503060095518239
4    31    32     1.503060095514043
4    31    33     1.50306009551593
4    31    34     1.503060095515081
4    31    35     1.503060095515463
4    31    36     1.503060095515291
4    31    37     1.503060095515368
4    31    38     1.503060095515334
4    31    39     1.503060095515349
4    31    40     1.503060095515342
4    32    30     1.503060095508909
4    32    31     1.50306009551824
4    32    32     1.503060095514045
4    32    33     1.503060095515931
4    32    34     1.503060095515083
4    32    35     1.503060095515465
4    32    36     1.503060095515294
4    32    37     1.50306009551537
4    32    38     1.503060095515336
4    32    39     1.503060095515352
