a b c brian_constant
1 11 37 1.49206803223598
1 11 38 1.49206803223598
1 11 39 1.49206803223598
1 11 40 1.49206803223598
1 12 2 3.854098360655738
1 12 3 1.49553101997897
1 12 4 1.491472026072787
1 12 5 1.492167101827676
1 12 6 1.492047806387858
1 12 7 1.49206827309237
1 12 8 1.49206476152697
1 12 9 1.492065364015339
1 12 10 1.492065260644648
1 12 11 1.492065278380254
1 12 12 1.492065275337305
1 12 13 1.492065275859392
1 12 14 1.492065275769816
1 12 15 1.492065275785185
1 12 16 1.492065275782548
1 12 17 1.492065275783001
1 12 18 1.492065275782923
1 12 19 1.492065275782936
1 12 20 1.492065275782934
1 12 21 1.492065275782934
1 12 22 1.492065275782934
1 12 23 1.492065275782934
1 12 24 1.492065275782934
1 12 25 1.492065275782934
1 12 26 1.492065275782934
1 12 27 1.492065275782934
1 12 28 1.492065275782934
1 12 29 1.492065275782934
1 12 30 1.492065275782934
1 12 31 1.492065275782934
1 12 32 1.492065275782934
1 12 33 1.492065275782934
1 12 34 1.492065275782934
1 12 35 1.492065275782934
1 12 36 1.492065275782934
1 12 37 1.492065275782934
1 12 38 1.492065275782934
1 12 39 1.492065275782934
1 12 40 1.492065275782934
1 13 2 3.854103343465046
1 13 3 1.49553208773355
1 13 4 1.491473076406607
1 13 5 1.492168155134519
1 13 6 1.492048859184144
1 13 7 1.492069325976239
1 13 8 1.492065814395812
1 13 9 1.49206641688676
1 13 10 1.492066313515626
1 13 11 1.492066331251308
1 13 12 1.492066328208346
1 13 13 1.492066328730435
1 13 14 1.492066328640859
1 13 15 1.492066328656228
1 13 16 1.492066328653591
1 13 17 1.492066328654043
1 13 18 1.492066328653966
1 13 19 1.492066328653979
1 13 20 1.492066328653977
1 13 21 1.492066328653977
1 13 22 1.492066328653977
1 13 23 1.492066328653977
1 13 24 1.492066328653977
1 13 25 1.492066328653977
1 13 26 1.492066328653977
1 13 27 1.492066328653977
1 13 28 1.492066328653977
1 13 29 1.492066328653977
1 13 30 1.492066328653977
1 13 31 1.492066328653977
1 13 32 1.492066328653977
1 13 33 1.492066328653977
1 13 34 1.492066328653977
1 13 35 1.492066328653977
1 13 36 1.492066328653977
1 13 37 1.492066328653977
1 13 38 1.492066328653977
1 13 39 1.492066328653977
1 13 40 1.492066328653977
1 14 2 3.854101440200376
1 14 3 1.495531679887539
1 14 4 1.491472675214739
1 14 5 1.492167752807057
1 14 6 1.492048457051697
1 14 7 1.492068923810339
1 14 8 1.492065412235651
1 14 9 1.492066014725614
1 14 10 1.492065911354649
1 14 11 1.492065929090302
1 14 12 1.492065926047345
1 14 13 1.492065926569434
1 14 14 1.492065926479858
1 14 15 1.492065926495227
1 14 16 1.49206592649259
1 14 17 1.492065926493042
1 14 18 1.492065926492965
1 14 19 1.492065926492978
1 14 20 1.492065926492976
1 14 21 1.492065926492976
1 14 22 1.492065926492976
1 14 23 1.492065926492976
1 14 24 1.492065926492976
1 14 25 1.492065926492976
1 14 26 1.492065926492976
1 14 27 1.492065926492976
1 14 28 1.492065926492976
1 14 29 1.492065926492976
1 14 30 1.492065926492976
1 14 31 1.492065926492976
1 14 32 1.492065926492976
1 14 33 1.492065926492976
1 14 34 1.492065926492976
1 14 35 1.492065926492976
1 14 36 1.492065926492976
1 14 37 1.492065926492976
1 14 38 1.492065926492976
1 14 39 1.492065926492976
1 14 40 1.492065926492976
1 15 2 3.854102167182663
1 15 3 1.495531835670845
1 15 4 1.49147282845639
1 15 5 1.492167906482466
1 15 6 1.492048610652617
1 15 7 1.492069077424036
1 15 8 1.492065565847156
1 15 9 1.492066168337496
1 15 10 1.492066064966467
1 15 11 1.49206608270213
1 15 12 1.492066079659171
1 15 13 1.492066080181261
1 15 14 1.492066080091684
1 15 15 1.492066080107053
1 15 16 1.492066080104416
1 15 17 1.492066080104869
1 15 18 1.492066080104791
1 15 19 1.492066080104804
1 15 20 1.492066080104802
1 15 21 1.492066080104802
1 15 22 1.492066080104802
1 15 23 1.492066080104802
1 15 24 1.492066080104802
1 15 25 1.492066080104802
1 15 26 1.492066080104802
1 15 27 1.492066080104802
1 15 28 1.492066080104802
1 15 29 1.492066080104802
1 15 30 1.492066080104802
1 15 31 1.492066080104802
1 15 32 1.492066080104802
1 15 33 1.492066080104802
1 15 34 1.492066080104803
1 15 35 1.492066080104802
1 15 36 1.492066080104802
1 15 37 1.492066080104802
1 15 38 1.492066080104802
1 15 39 1.492066080104802
1 15 40 1.492066080104802
1 16 2 3.85410188950012
1 16 3 1.495531776166916
1 16 4 1.491472769923287
1 16 5 1.492167847783682
1 16 6 1.492048551982285
1 16 7 1.492069018748824
1 16 8 1.492065507172782
1 16 9 1.492066109662977
1 16 10 1.492066006291972
1 16 11 1.492066024027632
1 16 12 1.492066020984674
1 16 13 1.492066021506763
1 16 14 1.492066021417187
1 16 15 1.492066021432556
1 16 16 1.492066021429919
1 16 17 1.492066021430371
1 16 18 1.492066021430293
1 16 19 1.492066021430307
1 16 20 1.492066021430305
